F3090    KLS A
F3091    KLS I
F3092    KLS U
F3093    KLS E
F3094    KLS O
F3095    KLS KA
F3096    KLS KI
F3097    KLS KU
F3098    KLS KE
F3099    KLS KO
F309A    KLS SA
F309B    KLS SHI
F309C    KLS SU
F309D    KLS SE
F309E    KLS SO
F309F    KLS TA
F30A0    KLS CHI
F30A1    KLS TSU
F30A2    KLS TE
F30A3    KLS TO
F30A4    KLS NA
F30A5    KLS NI
F30A6    KLS NU
F30A7    KLS NE
F30A8    KLS NO
F30A9    KLS HA
F30AA    KLS HI
F30AB    KLS FU
F30AC    KLS HE
F30AD    KLS HO
F30AE    KLS MA
F30AF    KLS MI
F30B0    KLS MU
F30B1    KLS ME
F30B2    KLS MO
F30B3    KLS YA
F30B4    KLS YU
F30B5    KLS YO
F30B6    KLS RA
F30B7    KLS RI
F30B8    KLS RU
F30B9    KLS RE
F30BA    KLS RO
F30BB    KLS WA
F30BC    KLS WO
F30BD    KLS DAKUTEN
F30BE    KLS HANDAKUTEN
F30BF    KLS VOICING MARK
F30C0    KLS KYA
F30C1    KLS KYU
F30C2    KLS KYO
F30C3    KLS SHA
F30C4    KLS SHU
F30C5    KLS SHO
F30C6    KLS CHA
F30C7    KLS CHU
F30C8    KLS CHO
F30C9    KLS NYA
F30CA    KLS NYU
F30CB    KLS NYO
F30CC    KLS RYA
F30CD    KLS RYU
F30CE    KLS RYO
F30CF    KLS MYA
F30D0    KLS COMMA
F30D1    KLS PERIOD
F30D2    KLS QUESTION MARK
F30D3    KLS EXCLAMATION MARK
F30D4    KLS MIDDLE DOT
F30D5    KLS WORD JOINER
F30D6    KLS DIGIT ZERO
F30D7    KLS DIGIT ONE
F30D8    KLS DIGIT TWO
F30D9    KLS DIGIT THREE
F30DA    KLS DIGIT FOUR
F30DB    KLS DIGIT FIVE
F30DC    KLS DIGIT SIX
F30DD    KLS DIGIT SEVEN
F30DE    KLS DIGIT EIGHT
F30DF    KLS DIGIT NINE
F30E0    <reserved>
F30E1    <reserved>
...
F30FF    <reserved>
